destination_id,nr_listings,from_price,currency_code,parent_id1,type1,slug1,parent_id2,type2,slug2,parent_id3,type3,slug3,concat,name
1976,5,155000,AUD,1575,state,cakaudrove,2805,country,fiji,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/fiji/cakaudrove,Cakaudrove
5920,3,49500,GBP,2675,state,cala-san-vincente,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/cala-san-vincente,Cala San Vincente
7294,4,500000,USD,3484,state,caledon,3490,country,canada,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/canada/caledon,Caledon
280,3,34500,EUR,2675,state,caleta-de-famara,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/caleta-de-famara,Caleta de Famara
552,87,12000,USD,3470,state,california,3490,country,usa,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/california,California
3019,3,54900,USD,3470,state,calistoga,3490,country,usa,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/calistoga,Calistoga
3436,49,15000,USD,2805,country,cambodia,0,continent,asia-and-oceania,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/asia-and-oceania/cambodia,Cambodia
1535,4,129500,USD,3184,state,cambutal,3490,country,panama,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/panama/cambutal,Cambutal
715,6,1450000,PHP,3522,state,camiguin,2805,country,philippines,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/philippines/camiguin,Camiguin
2959,5,63000,GBP,2948,state,campania,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/campania,Campania
2873,21,9000,EUR,2585,state,canacona,2805,country,india,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/india/canacona,Canacona
3484,58,25000,CAD,3490,country,canada,0,continent,the-americas-and-caribbean,NULL,NULL,NULL,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/canada,Canada
3376,57,29900,EUR,2675,state,canary-islands,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/canary-islands,Canary Islands
2673,3,135000,EUR,2650,state,cancun,3490,country,mexico,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/mexico/cancun,Cancun
2785,7,55000,AUD,2354,state,candidasa,2805,country,indonesia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/candidasa,Candidasa
1531,60,84000000,IDR,2354,state,canggu,2805,country,indonesia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/canggu,Canggu
5892,9,42500,USD,2354,state,canggu-beach,2805,country,indonesia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/canggu-beach,Canggu Beach
2073,3,58000,EUR,3235,state,cannes,2968,country,france,0,continent,europe,www.bookyogaretreats.com/all/d/europe/france/cannes,Cannes
6427,3,38000,USD,2415,state,canning,3490,country,argentina,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/argentina/canning,Canning
517,3,51900,CHF,2799,state,canton-of-bern,2968,country,switzerland,0,continent,europe,www.bookyogaretreats.com/all/d/europe/switzerland/canton-of-bern,Canton of Bern
378,9,209000,ZAR,3189,state,cape-town,3258,country,south-africa,0,continent,africa-and-the-middle-east,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/south-africa/cape-town,Cape Town
3128,3,109900,EUR,2948,state,capri,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/capri,Capri
82,3,69500,EUR,2948,state,carbonia-iglesias,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/carbonia-iglesias,Carbonia-Iglesias
6174,3,21000,GBP,2675,state,cartagena-1,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/cartagena-1,Cartagena
1312,10,40300,EUR,3437,state,casablanca,3258,country,morocco,0,continent,africa-and-the-middle-east,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/morocco/casablanca,Casablanca
170,22,33600,EUR,3276,state,cascais,2968,country,portugal,0,continent,europe,www.bookyogaretreats.com/all/d/europe/portugal/cascais,Cascais
673,4,68000,GBP,2948,state,castel-giorgio,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/castel-giorgio,Castel Giorgio
2570,12,55000,EUR,3276,state,castelo-branco,2968,country,portugal,0,continent,europe,www.bookyogaretreats.com/all/d/europe/portugal/castelo-branco,Castelo Branco
2662,7,22000,GBP,2675,state,catalonia,2968,country,spain,0,continent,europe,www.bookyogaretreats.com/all/d/europe/spain/catalonia,Catalonia
1431,3,36500,USD,3470,state,catskills,3490,country,usa,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/catskills,Catskills
1993,5,54000,EUR,2948,state,cavriglia,2968,country,italy,0,continent,europe,www.bookyogaretreats.com/all/d/europe/italy/cavriglia,Cavriglia
6570,3,800000,PHP,3522,state,cebu,2805,country,philippines,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/philippines/cebu,Cebu
2474,9,69900,USD,2354,state,central-bali,2805,country,indonesia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/central-bali,Central Bali
628,8,47500,USD,3470,state,central-coast,3490,country,usa,0,continent,the-americas-and-caribbean,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/usa/central-coast,Central Coast
6478,3,53000,AUD,2722,state,central-coast-1,2805,country,australia,0,continent,asia-and-oceania,www.bookyogaretreats.com/all/d/asia-and-oceania/australia/central-coast-1,Central Coast
