Ad state,Ad,Description line 1,Description line 2,Display URL,Final URL,Device preference type,Campaign,Ad group,Ad type
enabled,Best Yoga Retreats 2016,10 Deals in Fiji!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Fiji,www.bookyogaretreats.com/all/d/asia-and-oceania/fiji,All,Longtail Fiji,Longtail Retreats Fiji,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Western Australia!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/asia-and-oceania/australia/western-australia,All,Longtail Australia - Western Australia,Longtail Retreats Western Australia,Text ad
enabled,Best Yoga Retreats 2016,17 Deals in McLeod Ganj!,Compare and Book from Top Packages,www.BookYogaRetreats.com/McleodGanj,www.bookyogaretreats.com/all/d/asia-and-oceania/india/mcleod-ganj,All,Longtail India - McLeod Ganj,Longtail Retreats McLeod Ganj,Text ad
enabled,Best Yoga Retreats 2016,11 Deals in Devon!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Devon,www.bookyogaretreats.com/all/d/europe/united-kingdom/devon,All,Longtail United Kingdom - Devon,Longtail Retreats Devon,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Palmdale!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Palmdale,www.bookyogaretreats.com/all/d/asia-and-oceania/australia/palmdale,All,Longtail Australia - Palmdale,Longtail Retreats Palmdale,Text ad
enabled,Best Yoga Retreats 2016,5 Deals in Uki!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Uki,www.bookyogaretreats.com/all/d/asia-and-oceania/australia/uki,All,Longtail Australia - Uki,Longtail Retreats Uki,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Udaipur!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Udaipur,www.bookyogaretreats.com/all/d/asia-and-oceania/india/udaipur,All,Longtail India - Udaipur,Longtail Retreats Udaipur,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Cortijo!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Cortijo,www.bookyogaretreats.com/all/d/europe/spain/cortijo,All,Longtail Spain - Cortijo,Longtail Retreats Cortijo,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Essert-Romand!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/france/essert-romand,All,Longtail France - Essert-Romand,Longtail Retreats Essert-Romand,Text ad
enabled,Best Yoga Retreats 2016,7 Deals in Lajares!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Lajares,www.bookyogaretreats.com/all/d/europe/spain/lajares,All,Longtail Spain - Lajares,Longtail Retreats Lajares,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Tel Aviv!,Compare and Book from Top Packages,www.BookYogaRetreats.com/TelAviv,www.bookyogaretreats.com/all/d/africa-and-the-middle-east/israel/tel-aviv,All,Longtail Israel - Tel Aviv,Longtail Retreats Tel Aviv,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Euboea!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Euboea,www.bookyogaretreats.com/all/d/europe/greece/euboea,All,Longtail Greece - Euboea,Longtail Retreats Euboea,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Roatan!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Roatan,www.bookyogaretreats.com/all/d/the-americas-and-caribbean/honduras/roatan,All,Longtail Honduras - Roatan,Longtail Retreats Roatan,Text ad
enabled,Best Yoga Retreats 2016,13 Deals in Ionian Islands!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/greece/ionian-islands,All,Longtail Greece - Ionian Islands,Longtail Retreats Ionian Islands,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in West Greece!,Compare and Book from Top Packages,www.BookYogaRetreats.com/WestGreece,www.bookyogaretreats.com/all/d/europe/greece/west-greece,All,Longtail Greece - West Greece,Longtail Retreats West Greece,Text ad
enabled,Best Yoga Retreats 2016,6 Deals in Attica!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Attica,www.bookyogaretreats.com/all/d/europe/greece/attica,All,Longtail Greece - Attica,Longtail Retreats Attica,Text ad
enabled,Best Yoga Retreats 2016,10 Deals in San Carlos!,Compare and Book from Top Packages,www.BookYogaRetreats.com/SanCarlos,www.bookyogaretreats.com/all/d/europe/spain/san-carlos,All,Longtail Spain - San Carlos,Longtail Retreats San Carlos,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Nobbys Creek!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/asia-and-oceania/australia/nobbys-creek,All,Longtail Australia - Nobbys Creek,Longtail Retreats Nobbys Creek,Text ad
enabled,Best Yoga Retreats 2016,4 Deals in Madhya Pradesh!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/asia-and-oceania/india/madhya-pradesh,All,Longtail India - Madhya Pradesh,Longtail Retreats Madhya Pradesh,Text ad
enabled,Best Yoga Retreats 2016,10 Deals in Spanish Pyrenees!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/spain/spanish-pyrenees,All,Longtail Spain - Spanish Pyrenees,Longtail Retreats Spanish Pyrenees,Text ad
enabled,Best Yoga Retreats 2016,3 Deals in Jodhpur!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Jodhpur,www.bookyogaretreats.com/all/d/asia-and-oceania/india/jodhpur,All,Longtail India - Jodhpur,Longtail Retreats Jodhpur,Text ad
enabled,Best Yoga Retreats 2016,5 Deals in Peloponnese!,Compare and Book from Top Packages,www.BookYogaRetreats.com,www.bookyogaretreats.com/all/d/europe/greece/peloponnese,All,Longtail Greece - Peloponnese,Longtail Retreats Peloponnese,Text ad
enabled,Best Yoga Retreats 2016,8 Deals in Pengosekan!,Compare and Book from Top Packages,www.BookYogaRetreats.com/Pengosekan,www.bookyogaretreats.com/all/d/asia-and-oceania/indonesia/pengosekan,All,Longtail Indonesia - Pengosekan,Longtail Retreats Pengosekan,Text ad
